"","addition","value"
"558","TOTadd4",19
"559","TOTadd5",20
"560","TOTadd6",21
"561","TOTadd7",22
"562","TOTadd8",23
"563","TOTadd9",24
"564","TOTadd10",25
"565","TOT_original",1
"566","TOT_x_max",5
"567","TOTadd1",6
"568","TOTadd2",7
"569","TOTadd3",8
"570","TOTadd4",9
"571","TOTadd5",10
"572","TOTadd6",11
"573","TOTadd7",12
"574","TOTadd8",13
"575","TOTadd9",14
"576","TOTadd10",15
"577","TOT_original",3
"578","TOT_x_max",15
"579","TOTadd1",16
"580","TOTadd2",17
"581","TOTadd3",18
"582","TOTadd4",19
"583","TOTadd5",20
"584","TOTadd6",21
"585","TOTadd7",22
"586","TOTadd8",23
"587","TOTadd9",24
"588","TOTadd10",25
"589","TOT_original",0
"590","TOT_x_max",0
"591","TOTadd1",1
"592","TOTadd2",2
"593","TOTadd3",3
"594","TOTadd4",4
"595","TOTadd5",5
"596","TOTadd6",6
"597","TOTadd7",7
"598","TOTadd8",8
"599","TOTadd9",9
"600","TOTadd10",10
"601","TOT_original",1
"602","TOT_x_max",5
"603","TOTadd1",6
"604","TOTadd2",7
"605","TOTadd3",8
"606","TOTadd4",9
"607","TOTadd5",10
"608","TOTadd6",11
"609","TOTadd7",12
"610","TOTadd8",13
"611","TOTadd9",14
"612","TOTadd10",15
"613","TOT_original",2
"614","TOT_x_max",10
"615","TOTadd1",11
"616","TOTadd2",12
"617","TOTadd3",13
"618","TOTadd4",14
"619","TOTadd5",15
"620","TOTadd6",16
"621","TOTadd7",17
"622","TOTadd8",18
"623","TOTadd9",19
"624","TOTadd10",20
"625","TOT_original",1
"626","TOT_x_max",5
"627","TOTadd1",6
"628","TOTadd2",7
"629","TOTadd3",8
"630","TOTadd4",9
"631","TOTadd5",10
"632","TOTadd6",11
"633","TOTadd7",12
"634","TOTadd8",13
"635","TOTadd9",14
"636","TOTadd10",15
"637","TOT_original",2
"638","TOT_x_max",10
"639","TOTadd1",11
"640","TOTadd2",12
"641","TOTadd3",13
"642","TOTadd4",14
"643","TOTadd5",15
"644","TOTadd6",16
"645","TOTadd7",17
"646","TOTadd8",18
"647","TOTadd9",19
"648","TOTadd10",20
"649","TOT_original",1
"650","TOT_x_max",5
"651","TOTadd1",6
"652","TOTadd2",7
"653","TOTadd3",8
"654","TOTadd4",9
"655","TOTadd5",10
"656","TOTadd6",11
"657","TOTadd7",12
"658","TOTadd8",13
"659","TOTadd9",14
"660","TOTadd10",15
"661","TOT_original",1
"662","TOT_x_max",5
"663","TOTadd1",6
"664","TOTadd2",7
"665","TOTadd3",8
"666","TOTadd4",9
"667","TOTadd5",10
"668","TOTadd6",11
"669","TOTadd7",12
"670","TOTadd8",13
"671","TOTadd9",14
"672","TOTadd10",15
"673","TOT_original",0
"674","TOT_x_max",0
"675","TOTadd1",1
"676","TOTadd2",2
"677","TOTadd3",3
"678","TOTadd4",4
"679","TOTadd5",5
"680","TOTadd6",6
"681","TOTadd7",7
"682","TOTadd8",8
"683","TOTadd9",9
"684","TOTadd10",10
"685","TOT_original",1
"686","TOT_x_max",5
"687","TOTadd1",6
"688","TOTadd2",7
"689","TOTadd3",8
"690","TOTadd4",9
"691","TOTadd5",10
"692","TOTadd6",11
"693","TOTadd7",12
"694","TOTadd8",13
"695","TOTadd9",14
"696","TOTadd10",15
"697","TOT_original",1
"698","TOT_x_max",5
"699","TOTadd1",6
"700","TOTadd2",7
"701","TOTadd3",8
"702","TOTadd4",9
"703","TOTadd5",10
"704","TOTadd6",11
"705","TOTadd7",12
"706","TOTadd8",13
"707","TOTadd9",14
"708","TOTadd10",15
"709","TOT_original",0
"710","TOT_x_max",0
"711","TOTadd1",1
"712","TOTadd2",2
"713","TOTadd3",3
"714","TOTadd4",4
"715","TOTadd5",5
"716","TOTadd6",6
"717","TOTadd7",7
"718","TOTadd8",8
"719","TOTadd9",9
"720","TOTadd10",10
"721","TOT_original",0
"722","TOT_x_max",0
"723","TOTadd1",1
"724","TOTadd2",2
"725","TOTadd3",3
"726","TOTadd4",4
"727","TOTadd5",5
"728","TOTadd6",6
"729","TOTadd7",7
"730","TOTadd8",8
"731","TOTadd9",9
"732","TOTadd10",10
"733","TOT_original",3
"734","TOT_x_max",15
"735","TOTadd1",16
"736","TOTadd2",17
"737","TOTadd3",18
"738","TOTadd4",19
"739","TOTadd5",20
"740","TOTadd6",21
"741","TOTadd7",22
"742","TOTadd8",23
"743","TOTadd9",24
"744","TOTadd10",25
"745","TOT_original",2
"746","TOT_x_max",10
"747","TOTadd1",11
"748","TOTadd2",12
"749","TOTadd3",13
"750","TOTadd4",14
"751","TOTadd5",15
"752","TOTadd6",16
"753","TOTadd7",17
"754","TOTadd8",18
"755","TOTadd9",19
"756","TOTadd10",20
"757","TOT_original",1
"758","TOT_x_max",5
"759","TOTadd1",6
"760","TOTadd2",7
"761","TOTadd3",8
"762","TOTadd4",9
"763","TOTadd5",10
"764","TOTadd6",11
"765","TOTadd7",12
"766","TOTadd8",13
"767","TOTadd9",14
"768","TOTadd10",15
"769","TOT_original",1
"770","TOT_x_max",5
"771","TOTadd1",6
"772","TOTadd2",7
"773","TOTadd3",8
"774","TOTadd4",9
"775","TOTadd5",10
"776","TOTadd6",11
"777","TOTadd7",12
"778","TOTadd8",13
"779","TOTadd9",14
"780","TOTadd10",15
"781","TOT_original",2
"782","TOT_x_max",10
"783","TOTadd1",11
"784","TOTadd2",12
"785","TOTadd3",13
"786","TOTadd4",14
"787","TOTadd5",15
"788","TOTadd6",16
"789","TOTadd7",17
"790","TOTadd8",18
"791","TOTadd9",19
"792","TOTadd10",20
"793","TOT_original",2
"794","TOT_x_max",10
"795","TOTadd1",11
"796","TOTadd2",12
"797","TOTadd3",13
"798","TOTadd4",14
"799","TOTadd5",15
"800","TOTadd6",16
"801","TOTadd7",17
"802","TOTadd8",18
"803","TOTadd9",19
"804","TOTadd10",20
"805","TOT_original",2
"806","TOT_x_max",10
"807","TOTadd1",11
"808","TOTadd2",12
"809","TOTadd3",13
"810","TOTadd4",14
"811","TOTadd5",15
"812","TOTadd6",16
"813","TOTadd7",17
"814","TOTadd8",18
