Grave_ID	SiteName	SiteID	Diet (Kolar et al. 2012)	elevation_m_asl	elevation_source	ageGroup	meanAge	graveDepth	underlier_depth_cm	gravePitVol_m3	BarrowPreserved	SkelPos	HeadOrient	MorphSex	SexGender	Typochronology	pitLabourHours	height	anthroNotes	GravegoodsList	ChippedStoneMaterial	RockMaterialMaterial	unworkedAnimal_spec	boneToothBeads_perf	boneToolSimple	BoneTuskAntler_complex	small vessel	S_Polish	S_Deco	vesselLarge	L_Polish	L_Deco	potsherdsUndetermined	spindleWhorl	copperAwlNeedle	copperKnifeRazor	copperJewellery	copperNeckRing	GoldHairRing	flintAxe	flintBladeScraperFlake	shellPerf	battleAxe	stoneAxe	unworkedStoneMineral	Literature
93.1.2. Gr. 26	Holubice IV (U cihelen)	93.1		225	Description	maturus II	55	45		1,373625	FALSE	left	NA (not reported)	female	female	IIIb-c	3,0494475	162		low vessel (small, biconical), pot^ (small), bowl^ (small), Nagyrev jug+ (small), bone awl (sheep/goat(?)), animal bones (sheep/goat humerus)			1		1		4	1	2																	Sebela 1999
93.1.3. Gr. 36	Holubice IV (U cihelen)	93.1		225	Description	adultus	NA	90		2,08125	FALSE	NA	NA (position undetermined)	female(Q)	female	NA	4,620375			9 potsherds (unknown vessel)													1													Sebela 1999
93.2.1. Gr. 1	Holubice VII (Zemnik)	93.2		285	Description	adultus	NA	55		4,68875	FALSE	NA	NA (not reported)	female(Q)	female	III	10,409025			amphora+ (upper part, small), jug+ (small, torso), egg-shaped pot+** (large), potsherds^ (bowl), limestone pieces		limestone					2	2		1	1		1												1	Sebela 1999
93.2.2. Gr. 2	Holubice VII (Zemnik)	93.2		285	Description	juvenis	14	20		0,5125	FALSE	left	NE	subadult	female	III	1,13775			low vessel (small), jug (small), jug+ (small, lower part), 2 bowls (small), egg-shaped vessel (small, lower part)							6	1		2																Sebela 1999
93.2.3. Gr. 3	Holubice VII (Zemnik)	93.2		285	Description	maturus II	55	20		0,1302	FALSE	left	NE	female	female	NA	0,289044	163		no grave goods																										Sebela 1999
93.2.4. Gr. 4	Holubice VII (Zemnik)	93.2		285	Description	NA	NA	15		0,3795	FALSE	NA	NA (position undetermined)	NA	NA	NA	0,84249			no grave goods																										Sebela 1999
97.1.1 Grave 1 (VN 1)	Hoštice Farm of the Vyškov State Farm*	97		230	DEM	adultus II	35	150		4,99	FALSE	right	SW	male	male	IIIc	11,0778			pot (small), bowl (small), irregular shaped pot (small), Nagyrev jug+ (small), Nagyrev jug (small), Nagyrev jug+ (large), amphora* (large), egg-shaped pot** (large), 3 chert blades, 1 silex blade (unknown), 36 local chert flakes, 2 radiolarite flakes (imported), 5 splintered chert pieces, copper sheet (L 4 cm), stone axe (unknown fine-grained green-grey rock), stone axe (of amphibole pebble), axe+ (unknown green-grey fine material), whetstone (Argillite/yellow-brown sandstone), bone tool (chisel-like, unknown hollow bone, L13,8 cm), bone awl (sheep/goat distal, 10,4 cm), gravefilling: copper needle (frag. 2,3 cm)	6 Krumlovsky les I type, 7 Krumlovsky les II type, 11 Stránská skála type, 4 Cretaceous, 15 Moravian Jurassic, 2 radiolarite, 3 Undetermined	Undetermined, amphibole pebble, Argillite (or yellow-brown sandstone), Undetermined			2		5	1		3	1				1		1				47			3	1	Sebela 1999
Hos_801	Hostice 4 (Hostice-Heroltice)	Hos_4	Mixed diet with high meat consumption, containing abrasive particles in diet	230	DEM	infans II	9	70		2737	FALSE	on back (legs right)	S	subadult	male	III	6,07614	NA	difference between dental and bone age (bone about 12 years), medium robusticity	copper wire ring (Width – 16, Thick – 1), mug (fragment), Drevohostice jug (undecorated), sherds (undetermined vessel), amphora (fragment), small bowl (lost), bowl (lost), sherds (lost), egg-shaped vessel(?, lost), animal bones(?)							5			1			2				1									Kolar et al. 2011
Hos_802	Hostice 4 (Hostice-Heroltice)*	Hos_4	"Mixed diet, containing abrasive particles in diet
"	230	DEM	adultus II	35	30		1,14	FALSE	right	SSW	male	male	IIIa/IIIb	2,5308	169	a cleft of the posterior arch of the atlas, a metopic suture, trochanter tertius and fossa Alleni cannot be ruled out. platymerie. facies articularis talaris anterior absens. admixture: animal bones, a fraction of the human left collarbone	chipped stone blade (terminal part, glacial), polished stone flat axe (with traces of red dye on the surface, paleoandezite), bowl, ovoid vessel, amphora-like jug, backfill: bone tool with edge (metatarsus, Bos primigenius f. Taurus), small vessel (mug), 2 stones (fine-grained small stone and quartz), sherds (undetermined), 2 unworked animal teeth (1 Cervus, 1 Ovis/Capra)	Glacial flint	paleoandezite(?), fine-grained small stone, quartz, 	1		1		4		1				1								1			1	1	Kolar et al. 2011
Hos_838	Hostice 4 (Hostice-Heroltice)	Hos_4	High ratio of meat intake, containing abrasive particles in diet	230	DEM	maturus II	55	60		2706	FALSE	left	NE	female	female	IIIb	6,00732	162	spondylolysis of the 4th and 5th lumbar vertebra, platycnemia. green coloration (copper?) of the left temporal bone, left branch of the lower jaw and 1st - 2nd cervical vertebra, robust body, admixture: metal rings (earrings?), animal bone	copper spiral with one split end, copper spiral fragments - (6 pieces), ring (belonging to the spiral), rings (belonging to the spiral), wire neck ring (2 pieces), bowl with handle, Drevohostice jug (undecorated), bowl (originally with ear), Nagyrév jug (Balkan type, only rough reconstruction, bottom of vessel found at bottom of grave), egg-shaped pot (with four double projections on the edge), double amphora, medium-sized vessel (middle piece), animal bones (vertebra lumbares, Ovis/Capra)			1				4	2		1			2				3	1								Kolar et al. 2011
