Site;Grave_ID;Object_ID;Plate_number;grave_fill;raw_material;mohs_hardness_mean;toughness;Mohs_notes;objectType;object_description;condition;grind_perc;length_mm;width_mm;thickness_mm;weight_g;hole_diam;source_distance_km;total_graves;total_material_absolute;skill_level;specialColor
Brno-Starý Lískovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.2 Grave 36 (VN 1);;8:1, 225:2;;serpentinite;4;7;https://rocks.comparenature.com/en/serpentinite-rock/model-103-0;axe-hammer;battle axe (serpentinite);;1;;;;;;200;413;29;;
Brno-Starý Lískovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.2 Grave 36 (VN 1);;7:2;;greenschist-amphibolite group;5.12;1.9;mean of greenschist and amphibolite Mohs hardness and toughness;axe;axe (greenschists - amphibolites group rock);;0.8;;;;;;5;413;184;;
Těšetice (Livestock production area belonging to the agricultural cooperative);312.1.1 Grave 1 (VN 1);;109:2;;olivine basalt;6;2.3;https://rocks.comparenature.com/en/basalt-rock/model-7-0;axe-hammer;"battle axe (faceted, Olivine basalt. L -128 mm; W - 52 mm; H - 33 mm; Bore - 22-21 mm; Weight 535 g)";;1;128;52;33 (height);535;21-22;50;413;12;;
Těšetice (Livestock production area belonging to the agricultural cooperative);312.1.1 Grave 1 (VN 1);;;;reddish sandstone;6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;stone anvil;"stone anvil (trapezoid shape, in bowl-like upper surface: a band of vertical grooves is macroscopically visible. The longer side exhibits traces of surface crushing. Reddish sandstone, 125x122x22 mm; Weight - 760g)";;0;125;122;22;760;;5;413;413;;
Vícemilice (Na Barače);347.1.3. Gr. 3;;;;sandstone (local);6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;stone;flat fragment of stone with molten surface (sandstone of local origin. Dimensions:73 x 91 x 34,5 mm);;0;73;91;34.5;;;5;413;413;;
Vřesovice (Padělky);355.1.2. Gr. 2;;NA;;greenschist;3.75;1.5;https://rocks.comparenature.com/en/greenschist-rock/model-135-0;axe;"stone axe (strongly weathered, greenschist. L - 67 mm; W - 30 mm; H - 20 mm)";;1;67;30;20 (height);;;5;413;184;;
Vřesovice (Padělky);355.1.2. Gr. 2;;NA;;mica sandstone to siltstone, fine grained;6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;axe-hammer;"battle axe (simple shape in plane view with convex sides, in side view with higher edge. Fine grained mica sandstone to siltstone. L - 109 mm; W - 59 mm; edge H - 20-21 mm)";;1;109;59;20-21 (edge height);;;5;413;184;;
Želešice (Sadová ulice, site No. 203/2);368.1.1 Grave 1;;122:14;;greenschist;3.75;1.5;https://rocks.comparenature.com/en/greenschist-rock/model-135-0;axe;"stone axe (trapezoid shape made of greenschist with symmetrically ground straight edge, L - 63 mm; W - 44.5 mm; H-13 mm)";;0.9;63;44.5;13 (height);;;5;413;184;;
Čelechovice na Hané (Pískovna);56.1.1. Gr. 1;;12:9;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe-hammer;"battle axe (simple shape, convex sides, side view biconvex, L - 106 mm; W - 53 mm; H - 51 mm; Bore - 21-21 mm; Weight - 510 g)";;1;106;53;51 (height);510;21-22;5;413;184;;
Drahlov (Cow barn of the agricultural cooperative);72.1.2 Grave 2 (VN 2);;14:4, 202:4a-c;;culm greywacke;6.5;2.6;https://rocks.comparenature.com/en/greywacke-rock/model-41-0;axe-hammer;"battle axe (simple shape, convex sides and bore near butt, side view rectangular with pointed butt. Culm greywacke. L -102 mm; W - 49 mm; H - 42 mm; Bore - 20-18 mm)";;0.9;102;49;42 (height);;18-20;5;413;2;;
Holubice VII (Zemnik);93.2.1. Gr. 1;;;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;stone;limestone pieces;;0;;;;;;5;413;413;;
Hoštice Farm of the Vyškov State Farm;97.1.1 Grave 1 (VN 1);;NA;;unknown fine grained green-grey rock;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe;"stone axe (trapezoid shape, damaged edge, fine grained green-grey rock - undetermined. L - 56 mm; W - 32 mm; H - 15 mm)";;1;56;32;15 (height);;;5;413;184;;
Hoštice Farm of the Vyškov State Farm;97.1.1 Grave 1 (VN 1);;23:29;;amphibole pebble;6.5;2.3;https://rocks.comparenature.com/en/amphibolite-rock/model-42-0;axe;"stone axe (rectangular shape with straight edge, made of amphibole pebble. Butt bears traces of surface wear. L - 45 mm; edge W - 28 mm; H - 15 mm; Weight - 46 g)";;0.8;45;28 (edge);15 (height);46;;50;413;39;;
Hoštice Farm of the Vyškov State Farm;97.1.1 Grave 1 (VN 1);;;;argillite (claystone);2.5;2.6;https://rocks.comparenature.com/en/argillite-rock/model-67-0;whetstone;"whetstone (on concavely bent edge traces of surface wear, Argillite (alternatively yellow-brown sandstone), L - 98 mm; Weight - 30 g)";;0;98;;;30;;5;413;413;;
Hoštice Farm of the Vyškov State Farm;97.1.1 Grave 1 (VN 1);;203:10;;unknown fine grained grey-green rock;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe;"axe (rectangular with symmetrically polished edge, grey-green fine grained material (undetermined). L - 97 mm; edge W - 41 mm; H - 33)";;0.8;97;41 (edge);33 (height);;;5;413;184;;
