X	Y	fid	resource	Reference	OreDeposit	metallurgy	date	mine	sitename	type	res_simple	auxiliary_storage_labeling_positionx	auxiliary_storage_labeling_positiony
7747007.51240358	2398547.03782348	"178"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7782091.40104095	2377315.01376843	"179"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7950611.45870495	2320971.4988936	"180"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7996194.2762686	2244213.39867672	"181"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6776836.80782572	1265147.07781531	"182"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6733975.11918893	1150007.22078135	"183"	copper mine	Anthony and Pernicka 2010	TRUE		c. 4500 BCE - 400 CE	copper mine	Wadi Feynan	Mine	Copper		
4826492.54555293	2965275.62488931	"184"	Copper metallurgy	"Gebauer et al. 2020; Klassen 2014 (Causewayed Enclosures): 231 fig 135"		TRUE	3600-3200 BCE			Metallurgy	Copper		
3024813.12560009	3378265.41093224	"185"	copper mine	O'Brien 2015				copper mine	Ross Island	Mine	Copper		
3013250.24764415	3330193.92459242	"186"	copper mine	O'Brien 2015				copper mine	Derrycarhoon	Mine	Copper		
3376708.2741757	3457113.41956382	"187"	copper mine	O'Brien 2015				copper mine	Parys Mountain	Mine	Copper		
3415621.43080244	3435023.1984457	"188"	copper mine	O'Brien 2015				copper mine	Great Orme	Mine	Copper		
3519223.94297717	3421622.68722935	"189"	copper mine	O'Brien 2015				copper mine	Alderley Edge	Mine	Copper		
3547906.04902086	3389355.21048908	"190"	copper mine	O'Brien 2015				copper mine	Ecton	Mine	Copper		
3025598.52203096	2397470.27366614	"191"	copper mine	O'Brien 2015				copper mine	El Aramo	Mine	Copper		
3035952.12682994	2361567.66973428	"192"	copper mine	O'Brien 2015				copper mine	La Profunda	Mine	Copper		
3072182.22047147	2382668.60075628	"193"	copper mine	O'Brien 2015				copper mine	El Milagro	Mine	Copper		
2821452.60268144	1896671.90354333	"194"	copper mine	O'Brien 2015				copper mine	Mocissos	Mine	Copper		
2909080.89054158	1752708.67583436	"195"	copper mine	O'Brien 2015				copper mine	Chinflon	Mine	Copper		
3379032.77081882	2062727.61722584	"196"	copper mine	O'Brien 2015				copper mine	Loma de la Tejeria	Mine	Copper		
3330821.14582269	1717645.36235097	"197"	copper mine	O'Brien 2015				copper mine	Sierra de Orihuela	Mine	Copper		
3567600.55538376	2060189.73419427	"198"	copper mine	O'Brien 2015				copper mine	Montsant	Mine	Copper		
3711082.28396513	1866398.64627302	"199"	copper mine	O'Brien 2015				copper mine	Mallorca*	Mine	Copper		
3816688.53734728	1892008.01459679	"200"	copper mine	O'Brien 2015				copper mine	Mitja Lluna	Mine	Copper		
4243264.74641321	1851633.7700663	"201"	copper mine	O'Brien 2015				copper mine	Funtana Raminosa*	Mine	Copper		
3399660.34283907	2313672.79525929	"202"	copper mine	O'Brien 2015				copper mine	Causiat	Mine	Copper		
3762592.13064721	2331742.18684145	"203"	copper mine	O'Brien 2015				copper mine	Bouco-Payrol	Mine	Copper		
3791600.56836165	2304214.09563835	"204"	copper mine	O'Brien 2015				copper mine	Cabrières	Mine	Copper		
4000067.06866485	2242763.07654185	"205"	copper mine	O'Brien 2015				copper mine	Maraval	Mine	Copper		
4016802.97554734	2456105.39068412	"206"	copper mine	O'Brien 2015				copper mine	Les Rousses	Mine	Copper		
4049592.30793857	2410327.30149544	"207"	copper mine	"O'Brien 2015; Bourgarit et al. 2008"		TRUE	c. 2400-1700 cal BCE	copper mine	Saint-Véran	Mine	Copper		
4071430.21229388	2332668.3144054	"208"	copper mine	O'Brien 2015				copper mine	Clue de Roua	Mine	Copper		
4255123.5026709	2361695.00847905	"209"	copper mine	O'Brien 2015				copper mine	Libiola	Mine	Copper		
4289090.58301936	2352204.2476487	"210"	copper mine	O'Brien 2015				copper mine	Monte Loreto	Mine	Copper		
4344106.32592277	2543004.65908397	"211"	copper mine	O'Brien 2015				copper mine	Campolungo	Mine	Copper		
4405577.57493287	2620266.68458569	"212"	copper mine	O'Brien 2015				copper mine	Trentino*	Mine	Copper		
4462939.00224259	2706865.93736535	"213"	copper mine	O'Brien 2015			Copper Age (4500-3500 cal BCE)	copper mine	Schwaz-Brixlegg	Mine	Copper		
4482172.31175344	2720577.11744677	"214"	copper mine	O'Brien 2015				copper mine	Kitzbühel-Kelchalm	Mine	Copper		
4513176.42559928	2665252.44780764	"215"	copper mine	O'Brien 2015				copper mine	Virgental*	Mine	Copper		
4521944.42366515	2709361.84321208	"216"	copper mine	O'Brien 2015				copper mine	Saalfelden-Becken	Mine	Copper		
4567692.64940687	2732987.86056707	"217"	copper mine	"O'Brien 2015; Stöllner 2016"			1940-1320 calBCE	copper mine	Mitterberg	Mine	Copper		
4571546.95068559	2711368.42825602	"218"	copper mine	"O'Brien 2015; Stöllner 2016"			1741-1499 calBCE	copper mine	St. Veit	Mine	Copper		
