X	Y	fid	map_ID	Site_ID	site_name	District	INCLUDE	Reference
4836899.6100469	2934210.36905859	"141"	"809"	Iv4_809	Ivanovice na Hane 4	Ivanovice na Hane	"0"	Kolar et al. 2011
4836915.69389496	2934205.31341892	"142"	"803"	Iv4_803	Ivanovice na Hane 4	Ivanovice na Hane	"1"	Kolar et al. 2011
4836886.00013529	2934163.92879624	"143"	"806"	Iv4_806	Ivanovice na Hane 4	Ivanovice na Hane	"0"	Kolar et al. 2011
4836876.36544576	2934106.58633924	"144"	"807"	Iv4_807A	Ivanovice na Hane 4	Ivanovice na Hane	"1"	Kolar et al. 2011
4838381.99702587	2935466.72334327	"145"	"805"	Iv7_805	Ivanovice na Hane 7	Ivanovice na Hane	"0"	Kolar et al. 2011
4838380.14733526	2935391.75537486	"146"	"801"	Iv7_801	Ivanovice na Hane 7	Ivanovice na Hane	"0"	Kolar et al. 2011
4843586.34132579	2937742.01881361	"147"	"801"	Mor2_801	Morice 2	Morice	"0"	Kolar et al. 2011
4829716.72148745	2933692.59910595	"148"	"2"	Naleziste 2	Vyskov - Legerni pole	Vyskov	"0"	Kolar et al. 2011
4828877.02645516	2917234.46003553	"149"	"45"	"177.4"	Marefy (Ctvrti od Letonic)	Vyskov	"1"	Sebela 1999
4835159.7446886	2952956.56273182	"150"	"64"	"246.3"	Prostejov (Waitova ulice)	Prostejov	"1"	Sebela 1999
4817016.94440899	2918200.44525359	"151"	"19"	"93.2"	Holubice (Zemnik)	Vyskov	"1"	Sebela 1999
4836876.36544576	2934106.58633924	"152"	"807"	Iv4_807B	Ivanovice na Hane 4	Ivanovice na Hane	"1"	Kolar et al. 2011
